name,symbol,price,market_cap,volume_24h,pct_24h,pct_7d
Celestia,TIA,1.816043986342864,1359553464.9951894,82099868.96562052,1.31336022,-0.8811872
SPX6900,SPX,1.4596616473076878,1358934907.4836507,20782231.98077209,-2.5049369,-25.71174432
Quant,QNT,108.37220783604495,1308349271.6861176,12249352.05523438,-1.35285094,-6.48029352
Optimism,OP,0.7361052095371462,1289793845.5482206,111379019.21973456,0.50831137,-8.37749632
Stacks,STX,0.715119411120486,1281701271.999356,21313565.95457759,0.54951595,-5.82298843
Lido DAO,LDO,1.4083494256619782,1261515458.4359572,119746231.2963043,-1.15804805,4.58335371
Pump.fun,PUMP,0.0034583016456326055,1224238782.5539424,119314661.81654775,-0.82384001,10.87154514
PayPal USD,PYUSD,0.9996942666485333,1197721941.798108,41061646.49803058,0.00377707,0.0187344
Curve DAO Token,CRV,0.8645187661042352,1188757635.6151836,123211813.79835126,-1.26199897,-12.54810602
Aerodrome Finance,AERO,1.3469563149196575,1186236121.2385209,66034850.27362328,-2.58273668,7.88157843
Immutable,IMX,0.5801647667666188,1111259701.9494557,27320022.34252018,1.29795787,-4.54531889
FLOKI,FLOKI,0.00010665037008285152,1017480962.1101221,64890071.1553885,1.23890708,-12.74588927
The Graph,GRT,0.094336828926453,983763525.2636731,31085436.37902538,0.63676121,-6.73220924
Ethereum Name Service,ENS,26.332027285703276,967228948.3715001,59349266.60750296,-0.63027367,-13.48110438
Raydium,RAY,3.558048323027073,953852065.8716177,78732625.18161972,-1.77270387,3.3181474
PancakeSwap,CAKE,2.7618593312269804,951628333.4385471,48089812.09001319,1.30672615,-4.8825914
PAX Gold,PAXG,3332.4641539772015,947028291.0269358,20332656.47245033,-0.04490483,-1.59133224
Kaia,KAIA,0.15434344924454477,940770420.7212878,16412556.19413036,-0.15276163,0.86499938
Fartcoin,FARTCOIN,0.9394716667831255,939470028.3445387,119725214.7980302,-2.31758834,-15.63134917
Conflux,CFX,0.17806344405359148,912884585.7756515,39004296.31005142,-0.48256061,-14.7421057
Pendle,PENDLE,5.439455016022581,910466977.3977115,49998762.38628618,1.00658362,-2.63239751
Tezos,XTZ,0.8497242529975013,896420749.9150636,44169435.55580258,0.56665784,-5.41072594
Sonic,S,0.310631541847138,894618840.5197574,71932483.15645261,3.00732755,-3.50670465
dogwifhat,WIF,0.8802449716690747,879223977.487382,133034453.97447686,-0.01738145,-13.6414674
Nexo,NEXO,1.3470111812562102,870365670.6292818,9463330.35119534,-2.29410907,-0.94734211
Theta Network,THETA,0.8438923617909518,843892361.7909518,27134423.80805571,0.9155538,-3.82901193
Tether Gold,XAUT,3341.714826736177,823812905.9463093,22220940.54286595,-0.0101893,-1.38686524
IOTA,IOTA,0.20741952915945575,821212542.644103,25183574.19120523,3.38914906,-0.31958578
JasmyCoin,JASMY,0.016428066742448705,812285754.7768965,23247346.84586119,-0.00049846,-1.55633923
Vaulta,A,0.5090327518174973,806720027.6903006,25492713.34153875,-0.05612079,-7.05838397
Virtuals Protocol,VIRTUAL,1.2072198531219682,791297099.9829133,65911079.9290037,1.23235609,-15.29994141
Gala,GALA,0.017157053456313333,783301542.2864137,102374090.85478275,2.18575274,-5.41471178
The Sandbox,SAND,0.2958758477171467,761374121.1704472,59492492.64001729,2.72891787,-2.10500359
Pyth Network,PYTH,0.12334311901263949,709221076.218499,19718121.97739918,0.80698681,-5.9753876
BitTorrent [New],BTT,6.811443145271515e-07,671649941.2331909,16182829.1205092,0.65652381,-1.50997454
